Jul 14, 2019  10:05:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 39.30,  -1.45E-010, 
 39.40,   5.10E-010, 
 39.50,   5.03E-009, 
 39.60,   1.36E-008, 
 39.70,   2.70E-008, 
 39.80,   3.85E-008, 
 39.90,   4.87E-008, 
 40.00,   5.27E-008, 
 40.10,   5.06E-008, 
 40.20,   2.76E-008, 
 40.30,   1.12E-008, 
 40.40,   5.17E-009, 
 40.50,   2.57E-009, 
 40.60,   1.42E-009, 
 40.70,   6.52E-010, 
 40.80,   1.30E-010, 
 40.90,   7.23E-011, 
 41.00,  -1.42E-010, 
 41.10,  -3.33E-010, 
 41.20,  -3.84E-010, 
 41.30,  -5.33E-010, 
 41.40,  -6.96E-010, 
 41.50,  -6.34E-010, 
 41.60,  -8.07E-010, 
 41.70,  -8.19E-010, 
 41.80,  -6.19E-010, 
 41.90,  -5.90E-010, 
 42.00,  -6.35E-010, 
 42.10,  -7.00E-010, 
 42.20,  -7.78E-010, 
 42.30,  -8.51E-010, 
 42.40,  -9.51E-010, 
 42.50,  -1.06E-009, 
 42.60,  -1.02E-009, 
 42.70,  -6.12E-010, 
 42.80,  -4.12E-010, 
 42.90,  -1.07E-010, 
 43.00,   1.48E-010, 
 43.10,   3.07E-010, 
 43.20,   2.00E-010, 
 43.30,   5.11E-010, 
 43.40,   1.05E-009, 
 43.50,   6.02E-009, 
 43.60,   1.62E-008, 
 43.70,   3.14E-008, 
 43.80,   4.46E-008, 
 43.90,   5.89E-008, 
 44.00,   6.42E-008, 
 44.10,   6.24E-008, 
 44.20,   3.94E-008, 
 44.30,   1.56E-008, 
 44.40,   6.68E-009, 
 44.50,   3.40E-009, 
 44.60,   1.89E-009, 
 44.70,   1.17E-009, 
 44.80,   8.20E-010, 
 44.90,   7.07E-010, 
 45.00,   6.52E-010, 
 45.10,   6.92E-010, 
 45.20,   4.78E-010, 
 45.30,  -2.28E-010, 
 45.40,  -3.64E-010, 
 45.50,  -4.41E-010, 
 45.60,  -7.29E-010, 
 45.70,  -6.81E-010, 
 45.80,  -6.12E-010, 
 45.90,  -7.46E-010, 
 46.00,  -6.33E-010, 
 46.10,  -5.76E-010, 
 46.20,  -6.95E-010, 
 46.30,  -8.57E-010, 
 46.40,  -8.00E-010, 
