Jul 08, 2019  09:55:22 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 08, 2019  09:55:22 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

380.000,   1.5920E-007,   5.9687E-009,   8.8525E-008,   1.8094E-007,   4.4178E-006,   1.2055E-006,   5.2128E-007,   3.0120E-009,   4.1016E-008,   6.5196E-008,  
390.000,   1.6101E-007,   5.9940E-009,   8.8375E-008,   1.7948E-007,   4.4229E-006,   1.2042E-006,   5.1831E-007,   3.2602E-009,   4.0661E-008,   6.5834E-008,  
400.000,   1.5979E-007,   6.1145E-009,   8.9113E-008,   1.7971E-007,   4.3937E-006,   1.2074E-006,   5.2089E-007,   3.1181E-009,   4.1392E-008,   6.5595E-008,  
410.000,   1.5985E-007,   6.2892E-009,   9.0104E-008,   1.8159E-007,   4.4115E-006,   1.2023E-006,   5.2390E-007,   2.9157E-009,   4.1643E-008,   6.5795E-008,  
420.000,   1.6175E-007,   6.4518E-009,   8.8142E-008,   1.8032E-007,   4.4104E-006,   1.2088E-006,   5.2267E-007,   2.9229E-009,   4.1142E-008,   6.5087E-008,  
430.000,   1.5963E-007,   6.4952E-009,   8.8958E-008,   1.8034E-007,   4.3988E-006,   1.2093E-006,   5.2661E-007,   2.9699E-009,   4.1105E-008,   6.6040E-008,  
440.000,   1.5837E-007,   6.0771E-009,   8.8811E-008,   1.8054E-007,   4.3805E-006,   1.1986E-006,   5.1845E-007,   3.1952E-009,   4.0664E-008,   6.5758E-008,  
450.000,   1.5998E-007,   6.2807E-009,   8.8857E-008,   1.7913E-007,   4.3402E-006,   1.2023E-006,   5.1821E-007,   2.9747E-009,   4.1228E-008,   6.5845E-008,  
460.000,   1.5812E-007,   6.4482E-009,   8.8518E-008,   1.7965E-007,   4.4050E-006,   1.2027E-006,   5.2142E-007,   3.2277E-009,   4.1255E-008,   6.5348E-008,  
470.000,   1.5757E-007,   6.2554E-009,   8.9145E-008,   1.7889E-007,   4.3848E-006,   1.2026E-006,   5.1710E-007,   2.8952E-009,   4.0918E-008,   6.5567E-008,  
480.000,   1.5766E-007,   5.9675E-009,   8.8984E-008,   1.8052E-007,   4.3398E-006,   1.2053E-006,   5.1761E-007,   2.9133E-009,   4.1280E-008,   6.5501E-008,  
490.000,   1.5849E-007,   6.2434E-009,   8.8428E-008,   1.7922E-007,   4.3735E-006,   1.2048E-006,   5.2079E-007,   3.0325E-009,   4.0842E-008,   6.5348E-008,  
500.000,   1.5671E-007,   6.4241E-009,   8.9023E-008,   1.7943E-007,   4.3248E-006,   1.2031E-006,   5.1783E-007,   2.9747E-009,   4.1381E-008,   6.4908E-008,  
510.000,   1.5676E-007,   6.3446E-009,   8.8871E-008,   1.7845E-007,   4.3536E-006,   1.2099E-006,   5.1936E-007,   2.9000E-009,   4.0828E-008,   6.5022E-008,  
520.000,   1.5709E-007,   6.3325E-009,   8.9193E-008,   1.7868E-007,   4.3586E-006,   1.1926E-006,   5.1784E-007,   3.0133E-009,   4.0731E-008,   6.4596E-008,  
530.000,   1.5690E-007,   6.3410E-009,   8.8775E-008,   1.7797E-007,   4.3177E-006,   1.2010E-006,   5.1989E-007,   3.1506E-009,   4.1442E-008,   6.5160E-008,  
540.000,   1.5578E-007,   6.1831E-009,   8.9734E-008,   1.7814E-007,   4.3360E-006,   1.2070E-006,   5.1947E-007,   3.0663E-009,   4.1182E-008,   6.4607E-008,  
550.000,   1.5544E-007,   6.0639E-009,   8.8912E-008,   1.7895E-007,   4.3413E-006,   1.2009E-006,   5.1650E-007,   3.0843E-009,   4.0899E-008,   6.5448E-008,  
560.000,   1.5502E-007,   6.2566E-009,   8.9093E-008,   1.7838E-007,   4.2982E-006,   1.2046E-006,   5.1860E-007,   3.0542E-009,   4.0728E-008,   6.4683E-008,  
570.000,   1.5520E-007,   6.3193E-009,   8.9208E-008,   1.7769E-007,   4.3185E-006,   1.2043E-006,   5.2075E-007,   3.3699E-009,   4.1008E-008,   6.4422E-008,  
580.000,   1.5496E-007,   6.2217E-009,   8.8910E-008,   1.7742E-007,   4.3088E-006,   1.2075E-006,   5.1849E-007,   2.9831E-009,   4.0895E-008,   6.4510E-008,  
590.000,   1.5574E-007,   6.3711E-009,   8.8919E-008,   1.7785E-007,   4.2912E-006,   1.2042E-006,   5.1590E-007,   3.2506E-009,   4.1178E-008,   6.4341E-008,  
600.000,   1.5531E-007,   6.4566E-009,   8.8364E-008,   1.7784E-007,   4.2871E-006,   1.2040E-006,   5.1781E-007,   3.0458E-009,   4.1093E-008,   6.4623E-008,  
610.000,   1.5283E-007,   6.1494E-009,   8.8980E-008,   1.7748E-007,   4.2575E-006,   1.1985E-006,   5.1781E-007,   2.9699E-009,   4.1093E-008,   6.4455E-008,  
