Jul 19, 2019  06:00:16 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 44.40,   2.95E-008, 
 44.50,   1.17E-008, 
 44.60,   5.83E-009, 
 44.70,   3.52E-009, 
 44.80,   2.73E-009, 
 44.90,   2.38E-009, 
 45.00,   2.40E-009, 
 45.10,   2.71E-009, 
 45.20,   2.59E-009, 
 45.30,   2.20E-009, 
 45.40,   1.40E-009, 
 45.50,   5.70E-010, 
 45.60,   1.08E-011, 
 45.70,   3.86E-011, 
 45.80,   2.65E-011, 
 45.90,   1.08E-011, 
 46.00,   1.39E-010, 
 46.10,  -3.37E-011, 
 46.20,  -1.08E-011, 
 46.30,   2.29E-011, 
 46.40,  -1.61E-010, 
 46.50,  -4.51E-010, 
 46.60,  -5.19E-010, 
 46.70,  -6.53E-010, 
 46.80,  -5.13E-010, 
 46.90,  -6.01E-010, 
 47.00,  -6.81E-010, 
 47.10,  -4.40E-010, 
 47.20,  -3.36E-010, 
 47.30,  -3.30E-010, 
 47.40,  -5.06E-010, 
 47.50,  -3.94E-010, 
 47.60,  -3.96E-010, 
 47.70,  -3.31E-010, 
 47.80,  -3.47E-010, 
 47.90,  -2.88E-010, 
 48.00,  -1.99E-010, 
 48.10,  -3.37E-011, 
 48.20,   3.13E-011, 
 48.30,  -5.54E-011, 
 48.40,  -5.54E-010, 
 48.50,  -6.34E-010, 
 48.60,  -5.77E-010, 
 48.70,  -6.40E-010, 
 48.80,  -7.04E-010, 
 48.90,  -6.99E-010, 
 49.00,  -8.80E-010, 
 49.10,  -7.20E-010, 
 49.20,  -6.20E-010, 
 49.30,  -5.77E-010, 
 49.40,  -6.67E-010, 
 49.50,  -6.08E-010, 
 49.60,  -7.27E-010, 
 49.70,  -8.95E-010, 
 49.80,  -8.46E-010, 
 49.90,  -6.94E-010, 
 50.00,  -5.63E-010, 
 50.10,  -4.75E-010, 
 50.20,  -5.99E-010, 
 50.30,  -6.42E-010, 
 50.40,  -8.61E-010, 
 50.50,  -8.73E-010, 
 50.60,  -8.13E-010, 
 50.70,  -8.24E-010, 
 50.80,  -8.54E-010, 
 50.90,  -8.89E-010, 
 51.00,  -6.81E-010, 
 51.10,  -4.93E-010, 
 51.20,  -6.27E-010, 
 51.30,  -7.60E-010, 
 51.40,  -8.87E-010, 
 51.50,  -7.71E-010, 
 51.60,  -7.84E-010, 
 51.70,  -6.90E-010, 
 51.80,  -6.02E-010, 
 51.90,  -7.95E-010, 
 52.00,  -8.27E-010, 
 52.10,  -8.43E-010, 
 52.20,  -8.11E-010, 
 52.30,  -9.20E-010, 
 52.40,  -9.31E-010, 
 52.50,  -1.06E-009, 
 52.60,  -1.02E-009, 
 52.70,  -1.05E-009, 
 52.80,  -9.22E-010, 
 52.90,  -8.31E-010, 
 53.00,  -6.88E-010, 
 53.10,  -8.73E-010, 
 53.20,  -1.01E-009, 
 53.30,  -8.19E-010, 
 53.40,  -8.31E-010, 
 53.50,  -7.16E-010, 
 53.60,  -6.73E-010, 
 53.70,  -6.49E-010, 
 53.80,  -5.66E-010, 
 53.90,  -6.89E-010, 
 54.00,  -7.81E-010, 
 54.10,  -8.31E-010, 
 54.20,  -8.71E-010, 
 54.30,  -7.83E-010, 
 54.40,  -8.89E-010, 
 54.50,  -8.40E-010, 
 54.60,  -9.60E-010, 
 54.70,  -8.81E-010, 
 54.80,  -8.19E-010, 
 54.90,  -8.89E-010, 
 55.00,  -6.00E-010, 
 55.10,  -5.70E-010, 
 55.20,  -6.53E-010, 
 55.30,  -8.07E-010, 
 55.40,  -8.87E-010, 
 55.50,  -7.86E-010, 
 55.60,  -7.60E-010, 
 55.70,  -7.51E-010, 
 55.80,  -7.75E-010, 
 55.90,  -8.41E-010, 
 56.00,  -9.55E-010, 
 56.10,  -8.58E-010, 
 56.20,  -8.78E-010, 
 56.30,  -9.04E-010, 
 56.40,  -1.04E-009, 
 56.50,  -1.02E-009, 
 56.60,  -7.98E-010, 
 56.70,  -7.86E-010, 
 56.80,  -8.45E-010, 
 56.90,  -9.80E-010, 
 57.00,  -9.47E-010, 
 57.10,  -8.30E-010, 
 57.20,  -8.55E-010, 
 57.30,  -7.95E-010, 
 57.40,  -8.20E-010, 
 57.50,  -8.33E-010, 
 57.60,  -8.01E-010, 
 57.70,  -8.95E-010, 
 57.80,  -8.57E-010, 
 57.90,  -9.07E-010, 
 58.00,  -8.94E-010, 
 58.10,  -9.81E-010, 
 58.20,  -9.65E-010, 
 58.30,  -7.70E-010, 
 58.40,  -9.45E-010, 
 58.50,  -9.28E-010, 
 58.60,  -8.82E-010, 
 58.70,  -8.94E-010, 
 58.80,  -8.14E-010, 
 58.90,  -9.57E-010, 
 59.00,  -9.35E-010, 
 59.10,  -1.13E-009, 
 59.20,  -9.29E-010, 
 59.30,  -1.06E-009, 
 59.40,  -1.04E-009, 
 59.50,  -9.16E-010, 
 59.60,  -1.03E-009, 
 59.70,  -1.04E-009, 
 59.80,  -9.80E-010, 
 59.90,  -1.01E-009, 
 60.00,  -1.04E-009, 
 60.10,  -1.13E-009, 
 60.20,  -9.04E-010, 
 60.30,  -7.88E-010, 
 60.40,  -7.39E-010, 
 60.50,  -8.63E-010, 
 60.60,  -8.31E-010, 
 60.70,  -8.35E-010, 
 60.80,  -7.82E-010, 
 60.90,  -7.10E-010, 
 61.00,  -7.64E-010, 
 61.10,  -9.39E-010, 
 61.20,  -1.10E-009, 
 61.30,  -9.10E-010, 
 61.40,  -9.49E-010, 
 61.50,  -8.84E-010, 
 61.60,  -8.37E-010, 
 61.70,  -9.30E-010, 
 61.80,  -9.39E-010, 
 61.90,  -8.52E-010, 
 62.00,  -8.98E-010, 
 62.10,  -7.43E-010, 
 62.20,  -6.71E-010, 
 62.30,  -7.90E-010, 
 62.40,  -8.71E-010, 
 62.50,  -8.14E-010, 
 62.60,  -1.00E-009, 
 62.70,  -1.02E-009, 
 62.80,  -9.01E-010, 
 62.90,  -1.11E-009, 
 63.00,  -1.18E-009, 
 63.10,  -9.35E-010, 
 63.20,  -8.82E-010, 
 63.30,  -8.98E-010, 
 63.40,  -9.19E-010, 
 63.50,  -1.01E-009, 
 63.60,  -7.71E-010, 
 63.70,  -7.61E-010, 
 63.80,  -7.51E-010, 
 63.90,  -5.81E-010, 
 64.00,  -4.88E-010, 
 64.10,  -5.28E-010, 
 64.20,  -4.86E-010, 
 64.30,  -4.10E-010, 
 64.40,  -4.93E-010, 
 64.50,  -6.24E-010, 
 64.60,  -7.25E-010, 
 64.70,  -7.14E-010, 
 64.80,  -8.80E-010, 
 64.90,  -9.78E-010, 
 65.00,  -1.03E-009, 
 65.10,  -9.02E-010, 
 65.20,  -8.94E-010, 
 65.30,  -8.43E-010, 
 65.40,  -9.24E-010, 
 65.50,  -9.42E-010, 
 65.60,  -9.73E-010, 
 65.70,  -8.60E-010, 
 65.80,  -7.77E-010, 
 65.90,  -6.81E-010, 
 66.00,  -8.01E-010, 
 66.10,  -7.70E-010, 
 66.20,  -8.42E-010, 
 66.30,  -6.64E-010, 
 66.40,  -6.84E-010, 
 66.50,  -7.76E-010, 
 66.60,  -8.78E-010, 
 66.70,  -1.06E-009, 
 66.80,  -9.63E-010, 
 66.90,  -8.72E-010, 
 67.00,  -6.86E-010, 
 67.10,  -6.36E-010, 
 67.20,  -7.59E-010, 
 67.30,  -7.67E-010, 
 67.40,  -8.84E-010, 
 67.50,  -9.46E-010, 
 67.60,  -9.34E-010, 
 67.70,  -9.19E-010, 
 67.80,  -9.48E-010, 
 67.90,  -9.75E-010, 
 68.00,  -8.99E-010, 
 68.10,  -8.81E-010, 
 68.20,  -8.81E-010, 
 68.30,  -9.10E-010, 
 68.40,  -9.52E-010, 
 68.50,  -8.70E-010, 
 68.60,  -9.28E-010, 
 68.70,  -1.06E-009, 
 68.80,  -1.01E-009, 
 68.90,  -8.89E-010, 
 69.00,  -8.61E-010, 
 69.10,  -6.83E-010, 
 69.20,  -8.78E-010, 
 69.30,  -7.63E-010, 
 69.40,  -7.06E-010, 
 69.50,  -7.76E-010, 
 69.60,  -8.75E-010, 
 69.70,  -9.39E-010, 
 69.80,  -9.45E-010, 
 69.90,  -8.73E-010, 
 70.00,  -6.35E-010, 
 70.10,  -5.76E-010, 
 70.20,  -7.58E-010, 
 70.30,  -7.22E-010, 
 70.40,  -8.02E-010, 
 70.50,  -9.02E-010, 
 70.60,  -9.84E-010, 
 70.70,  -1.13E-009, 
 70.80,  -9.92E-010, 
 70.90,  -1.09E-009, 
 71.00,  -1.13E-009, 
 71.10,  -9.41E-010, 
 71.20,  -9.16E-010, 
 71.30,  -9.33E-010, 
 71.40,  -9.59E-010, 
 71.50,  -9.70E-010, 
 71.60,  -9.87E-010, 
 71.70,  -1.05E-009, 
 71.80,  -9.27E-010, 
 71.90,  -8.54E-010, 
 72.00,  -9.22E-010, 
 72.10,  -9.35E-010, 
 72.20,  -9.93E-010, 
 72.30,  -1.18E-009, 
 72.40,  -9.51E-010, 
 72.50,  -9.69E-010, 
 72.60,  -1.05E-009, 
 72.70,  -9.00E-010, 
 72.80,  -9.81E-010, 
 72.90,  -1.09E-009, 
 73.00,  -9.88E-010, 
 73.10,  -9.27E-010, 
 73.20,  -1.09E-009, 
 73.30,  -8.90E-010, 
 73.40,  -7.86E-010, 
 73.50,  -8.82E-010, 
 73.60,  -8.96E-010, 
 73.70,  -8.28E-010, 
 73.80,  -8.08E-010, 
 73.90,  -8.22E-010, 
 74.00,  -9.69E-010, 
 74.10,  -1.04E-009, 
 74.20,  -1.10E-009, 
 74.30,  -1.09E-009, 
 74.40,  -1.17E-009, 
 74.50,  -1.02E-009, 
 74.60,  -9.92E-010, 
 74.70,  -9.75E-010, 
 74.80,  -7.76E-010, 
 74.90,  -8.78E-010, 
 75.00,  -1.02E-009, 
 75.10,  -1.05E-009, 
 75.20,  -8.81E-010, 
 75.30,  -8.95E-010, 
 75.40,  -9.92E-010, 
 75.50,  -8.86E-010, 
 75.60,  -1.00E-009, 
 75.70,  -1.08E-009, 
 75.80,  -9.06E-010, 
 75.90,  -9.58E-010, 
 76.00,  -9.46E-010, 
 76.10,  -8.83E-010, 
 76.20,  -8.65E-010, 
 76.30,  -9.12E-010, 
 76.40,  -1.03E-009, 
 76.50,  -1.04E-009, 
 76.60,  -8.42E-010, 
 76.70,  -6.77E-010, 
 76.80,  -8.29E-010, 
 76.90,  -9.30E-010, 
 77.00,  -8.53E-010, 
 77.10,  -7.90E-010, 
 77.20,  -7.81E-010, 
 77.30,  -7.81E-010, 
 77.40,  -9.45E-010, 
 77.50,  -8.98E-010, 
 77.60,  -8.70E-010, 
 77.70,  -1.07E-009, 
 77.80,  -8.42E-010, 
 77.90,  -7.11E-010, 
 78.00,  -8.36E-010, 
 78.10,  -7.87E-010, 
 78.20,  -7.90E-010, 
 78.30,  -9.45E-010, 
 78.40,  -9.25E-010, 
 78.50,  -9.94E-010, 
 78.60,  -1.15E-009, 
 78.70,  -1.18E-009, 
 78.80,  -1.07E-009, 
 78.90,  -1.01E-009, 
 79.00,  -1.05E-009, 
 79.10,  -9.66E-010, 
 79.20,  -9.36E-010, 
 79.30,  -8.29E-010, 
 79.40,  -7.69E-010, 
 79.50,  -9.51E-010, 
 79.60,  -1.00E-009, 
 79.70,  -8.94E-010, 
 79.80,  -9.57E-010, 
 79.90,  -1.07E-009, 
 80.00,  -1.02E-009, 
 80.10,  -1.05E-009, 
 80.20,  -1.17E-009, 
 80.30,  -9.93E-010, 
 80.40,  -1.06E-009, 
 80.50,  -9.73E-010, 
 80.60,  -8.78E-010, 
 80.70,  -9.69E-010, 
 80.80,  -9.58E-010, 
 80.90,  -1.01E-009, 
 81.00,  -8.99E-010, 
 81.10,  -7.82E-010, 
 81.20,  -8.58E-010, 
 81.30,  -9.06E-010, 
 81.40,  -9.31E-010, 
 81.50,  -8.29E-010, 
 81.60,  -8.88E-010, 
 81.70,  -8.73E-010, 
 81.80,  -7.11E-010, 
 81.90,  -9.22E-010, 
 82.00,  -9.64E-010, 
 82.10,  -8.77E-010, 
 82.20,  -9.07E-010, 
 82.30,  -9.00E-010, 
 82.40,  -8.36E-010, 
 82.50,  -9.66E-010, 
 82.60,  -1.11E-009, 
 82.70,  -1.07E-009, 
 82.80,  -9.95E-010, 
 82.90,  -1.10E-009, 
 83.00,  -9.93E-010, 
 83.10,  -1.01E-009, 
 83.20,  -9.86E-010, 
 83.30,  -9.49E-010, 
 83.40,  -1.05E-009, 
 83.50,  -1.15E-009, 
 83.60,  -9.89E-010, 
 83.70,  -9.40E-010, 
 83.80,  -1.10E-009, 
 83.90,  -9.60E-010, 
 84.00,  -8.88E-010, 
 84.10,  -7.82E-010, 
 84.20,  -7.29E-010, 
 84.30,  -9.13E-010, 
 84.40,  -7.35E-010, 
 84.50,  -7.07E-010, 
 84.60,  -7.69E-010, 
 84.70,  -8.47E-010, 
 84.80,  -7.77E-010, 
 84.90,  -7.81E-010, 
 85.00,  -1.08E-009, 
 85.10,  -9.90E-010, 
 85.20,  -9.33E-010, 
 85.30,  -1.02E-009, 
 85.40,  -9.54E-010, 
