Jul 18, 2019  11:56:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 18, 2019  11:56:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

420.000,   1.9310E-007,   5.3024E-009,   1.0817E-007,   2.3651E-007,   6.9722E-006,   1.6699E-006,   7.0012E-007,   4.3108E-009,   4.7133E-008,   5.6172E-008,  
430.000,   1.9310E-007,   5.5590E-009,   1.0978E-007,   2.3596E-007,   6.9950E-006,   1.6596E-006,   6.9702E-007,   3.7940E-009,   4.7282E-008,   5.6354E-008,  
440.000,   1.9104E-007,   5.2386E-009,   1.0865E-007,   2.3395E-007,   6.9548E-006,   1.6466E-006,   6.9604E-007,   4.0072E-009,   4.6877E-008,   5.5945E-008,  
450.000,   1.8939E-007,   5.2205E-009,   1.0777E-007,   2.3584E-007,   6.8939E-006,   1.6920E-006,   6.9720E-007,   3.8494E-009,   4.7155E-008,   5.5402E-008,  
460.000,   1.9032E-007,   5.3578E-009,   1.0847E-007,   2.3221E-007,   6.8590E-006,   1.6613E-006,   6.9981E-007,   3.8434E-009,   4.6918E-008,   5.5345E-008,  
470.000,   1.8832E-007,   5.2699E-009,   1.0906E-007,   2.3204E-007,   6.8162E-006,   1.6597E-006,   6.9278E-007,   3.9205E-009,   4.7119E-008,   5.5460E-008,  
480.000,   1.8754E-007,   5.6470E-009,   1.0873E-007,   2.3314E-007,   6.8327E-006,   1.6657E-006,   6.9038E-007,   3.7892E-009,   4.7160E-008,   5.4872E-008,  
490.000,   1.8605E-007,   5.3735E-009,   1.0844E-007,   2.3284E-007,   6.8084E-006,   1.6586E-006,   6.9112E-007,   3.8434E-009,   4.6729E-008,   5.5313E-008,  
500.000,   1.8611E-007,   5.4386E-009,   1.0817E-007,   2.3236E-007,   6.7569E-006,   1.6685E-006,   6.8932E-007,   4.0482E-009,   4.6658E-008,   5.4575E-008,  
510.000,   1.8515E-007,   5.3542E-009,   1.0873E-007,   2.3153E-007,   6.7513E-006,   1.6588E-006,   6.9084E-007,   4.0952E-009,   4.6770E-008,   5.5099E-008,  
520.000,   1.8573E-007,   5.3928E-009,   1.0770E-007,   2.2913E-007,   6.7101E-006,   1.6430E-006,   6.9009E-007,   3.9373E-009,   4.6675E-008,   5.4390E-008,  
530.000,   1.8449E-007,   5.3337E-009,   1.0796E-007,   2.3036E-007,   6.6706E-006,   1.6457E-006,   6.8298E-007,   4.0542E-009,   4.6748E-008,   5.4833E-008,  
540.000,   1.8404E-007,   5.2590E-009,   1.0768E-007,   2.2887E-007,   6.6479E-006,   1.6586E-006,   6.8651E-007,   3.8217E-009,   4.6902E-008,   5.4207E-008,  
550.000,   1.8289E-007,   5.4205E-009,   1.0779E-007,   2.3012E-007,   6.5982E-006,   1.6513E-006,   6.8928E-007,   3.9289E-009,   4.6435E-008,   5.4767E-008,  
560.000,   1.8322E-007,   5.5229E-009,   1.0841E-007,   2.2712E-007,   6.6072E-006,   1.6548E-006,   6.8612E-007,   3.9096E-009,   4.6327E-008,   5.4119E-008,  
570.000,   1.8345E-007,   5.2386E-009,   1.0826E-007,   2.2731E-007,   6.5809E-006,   1.6482E-006,   6.8230E-007,   3.9289E-009,   4.6770E-008,   5.3340E-008,  
580.000,   1.8225E-007,   5.2759E-009,   1.0813E-007,   2.2564E-007,   6.5821E-006,   1.6438E-006,   6.8481E-007,   4.0410E-009,   4.6152E-008,   5.3880E-008,  
590.000,   1.8079E-007,   5.4193E-009,   1.0853E-007,   2.2635E-007,   6.5399E-006,   1.6392E-006,   6.8410E-007,   3.7831E-009,   4.6002E-008,   5.3430E-008,  
600.000,   1.7976E-007,   5.1446E-009,   1.0733E-007,   2.2709E-007,   6.5041E-006,   1.6636E-006,   6.8293E-007,   3.9133E-009,   4.6013E-008,   5.3361E-008,  
610.000,   1.7997E-007,   5.4072E-009,   1.0794E-007,   2.2478E-007,   6.4743E-006,   1.6418E-006,   6.8140E-007,   4.0241E-009,   4.6601E-008,   5.4108E-008,  
620.000,   1.7997E-007,   5.2217E-009,   1.0836E-007,   2.2580E-007,   6.4691E-006,   1.6377E-006,   6.8060E-007,   3.7349E-009,   4.6407E-008,   5.3259E-008,  
630.000,   1.7928E-007,   5.3096E-009,   1.0705E-007,   2.2468E-007,   6.4515E-006,   1.6462E-006,   6.8347E-007,   4.1229E-009,   4.6073E-008,   5.2658E-008,  
640.000,   1.7996E-007,   5.3988E-009,   1.0724E-007,   2.2429E-007,   6.4167E-006,   1.6499E-006,   6.8128E-007,   4.0687E-009,   4.6406E-008,   5.3227E-008,  
650.000,   1.7830E-007,   5.5446E-009,   1.0672E-007,   2.2262E-007,   6.4106E-006,   1.6528E-006,   6.7874E-007,   4.3639E-009,   4.6210E-008,   5.3034E-008,  
660.000,   1.7744E-007,   5.1952E-009,   1.0684E-007,   2.2483E-007,   6.3697E-006,   1.6469E-006,   6.8298E-007,   3.8735E-009,   4.6229E-008,   5.2589E-008,  
670.000,   1.7540E-007,   5.3687E-009,   1.0677E-007,   2.2365E-007,   6.3769E-006,   1.6464E-006,   6.7823E-007,   4.0675E-009,   4.6570E-008,   5.2422E-008,  
680.016,   1.7472E-007,   5.2012E-009,   1.0636E-007,   2.2198E-007,   6.3007E-006,   1.6539E-006,   6.7981E-007,   3.9747E-009,   4.6705E-008,   5.2016E-008,  
690.016,   1.7607E-007,   5.1361E-009,   1.0679E-007,   2.2179E-007,   6.3081E-006,   1.6481E-006,   6.8156E-007,   4.0771E-009,   4.6196E-008,   5.2607E-008,  
700.000,   1.7558E-007,   5.2398E-009,   1.0738E-007,   2.2097E-007,   6.2529E-006,   1.6425E-006,   6.7462E-007,   4.0133E-009,   4.6039E-008,   5.2288E-008,  
710.000,   1.7502E-007,   5.3614E-009,   1.0600E-007,   2.1946E-007,   6.3196E-006,   1.6662E-006,   6.7816E-007,   4.0241E-009,   4.5863E-008,   5.1858E-008,  
720.000,   1.7403E-007,   5.1241E-009,   1.0705E-007,   2.2167E-007,   6.2527E-006,   1.6616E-006,   6.8078E-007,   3.9988E-009,   4.5513E-008,   5.1952E-008,  
730.000,   1.7324E-007,   5.1012E-009,   1.0711E-007,   2.1862E-007,   6.1958E-006,   1.6472E-006,   6.7249E-007,   3.9120E-009,   4.6522E-008,   5.1963E-008,  
740.016,   1.7112E-007,   5.0181E-009,   1.0591E-007,   2.1888E-007,   6.2222E-006,   1.6525E-006,   6.7800E-007,   4.0337E-009,   4.6489E-008,   5.1589E-008,  
750.000,   1.7220E-007,   5.1337E-009,   1.0680E-007,   2.1845E-007,   6.1692E-006,   1.6502E-006,   6.7413E-007,   3.9675E-009,   4.6499E-008,   5.0833E-008,  
