Jul 05, 2019  10:32:10 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 53.30,  -2.51E-010, 
 53.40,  -3.60E-010, 
 53.50,  -4.69E-010, 
 53.60,  -4.27E-010, 
 53.70,  -4.83E-010, 
 53.80,  -4.54E-010, 
 53.90,  -5.10E-010, 
 54.00,  -4.41E-010, 
 54.10,  -2.63E-010, 
 54.20,  -3.99E-010, 
 54.30,  -6.25E-010, 
 54.40,  -5.00E-010, 
 54.50,  -4.34E-010, 
 54.60,  -5.53E-010, 
 54.70,  -4.99E-010, 
 54.80,  -4.90E-010, 
 54.90,  -3.08E-010, 
 55.00,  -1.48E-010, 
 55.10,   5.42E-011, 
 55.20,   1.30E-010, 
 55.30,   3.13E-010, 
 55.40,   2.22E-010, 
 55.50,  -1.80E-010, 
 55.60,  -4.07E-010, 
 55.70,  -3.66E-010, 
 55.80,  -6.25E-010, 
 55.90,  -5.73E-010, 
 56.00,  -3.65E-010, 
 56.10,  -2.72E-010, 
 56.20,  -7.23E-011, 
 56.30,   1.98E-010, 
 56.40,   4.46E-011, 
 56.50,  -1.23E-010, 
 56.60,  -3.67E-010, 
 56.70,  -7.64E-010, 
 56.80,  -5.71E-010, 
 56.90,  -4.98E-010, 
 57.00,  -6.06E-010, 
 57.10,  -5.41E-010, 
 57.20,  -2.22E-010, 
 57.30,  -1.81E-010, 
 57.40,  -1.66E-010, 
 57.50,  -2.72E-010, 
 57.60,  -4.46E-010, 
 57.70,  -5.93E-010, 
 57.80,  -6.87E-010, 
 57.90,  -6.08E-010, 
 58.00,  -3.89E-010, 
 58.10,  -1.17E-010, 
 58.20,  -3.49E-011, 
 58.30,   1.51E-010, 
 58.40,   2.45E-010, 
 58.50,  -6.87E-011, 
 58.60,  -3.59E-010, 
 58.70,  -3.17E-010, 
 58.80,  -5.01E-010, 
 58.90,  -6.31E-010, 
 59.00,  -5.69E-010, 
 59.10,  -4.94E-010, 
 59.20,  -4.90E-010, 
 59.30,  -4.73E-010, 
 59.40,  -5.16E-010, 
 59.50,  -5.84E-010, 
 59.60,  -5.73E-010, 
 59.70,  -7.18E-010, 
 59.80,  -8.83E-010, 
 59.90,  -7.40E-010, 
 60.00,  -6.33E-010, 
 60.10,  -5.12E-010, 
 60.20,  -6.36E-010, 
 60.30,  -5.66E-010, 
 60.40,  -5.22E-010, 
 60.50,  -6.29E-010, 
 60.60,  -7.65E-010, 
 60.70,  -8.84E-010, 
 60.80,  -6.96E-010, 
 60.90,  -7.02E-010, 
 61.00,  -8.28E-010, 
 61.10,  -8.29E-010, 
 61.20,  -7.08E-010, 
 61.30,  -7.27E-010, 
 61.40,  -5.43E-010, 
 61.50,  -6.05E-010, 
 61.60,  -7.37E-010, 
 61.70,  -5.86E-010, 
 61.80,  -7.31E-010, 
 61.90,  -7.07E-010, 
 62.00,  -6.37E-010, 
 62.10,  -7.12E-010, 
 62.20,  -6.99E-010, 
 62.30,  -5.76E-010, 
 62.40,  -6.30E-010, 
 62.50,  -7.04E-010, 
 62.60,  -7.28E-010, 
 62.70,  -8.43E-010, 
 62.80,  -8.71E-010, 
 62.90,  -6.47E-010, 
 63.00,  -6.95E-010, 
 63.10,  -8.02E-010, 
 63.20,  -7.06E-010, 
 63.30,  -6.61E-010, 
 63.40,  -7.37E-010, 
 63.50,  -6.75E-010, 
 63.60,  -7.61E-010, 
 63.70,  -8.20E-010, 
 63.80,  -6.39E-010, 
 63.90,  -5.51E-010, 
 64.00,  -4.87E-010, 
 64.10,  -3.82E-010, 
 64.20,  -2.96E-010, 
 64.30,  -3.84E-010, 
 64.40,  -3.60E-010, 
 64.50,  -5.33E-010, 
 64.60,  -7.92E-010, 
 64.70,  -6.67E-010, 
 64.80,  -7.28E-010, 
 64.90,  -7.48E-010, 
 65.00,  -5.40E-010, 
 65.10,  -4.87E-010, 
 65.20,  -5.43E-010, 
 65.30,  -5.55E-010, 
 65.40,  -7.49E-010, 
 65.50,  -7.61E-010, 
 65.60,  -6.27E-010, 
 65.70,  -7.13E-010, 
 65.80,  -6.37E-010, 
 65.90,  -5.89E-010, 
 66.00,  -6.67E-010, 
 66.10,  -6.29E-010, 
 66.20,  -4.78E-010, 
 66.30,  -6.11E-010, 
 66.40,  -6.08E-010, 
 66.50,  -6.18E-010, 
 66.60,  -5.55E-010, 
 66.70,  -6.12E-010, 
 66.80,  -5.88E-010, 
 66.90,  -5.37E-010, 
 67.00,  -6.02E-010, 
 67.10,  -6.30E-010, 
 67.20,  -3.60E-010, 
 67.30,  -3.07E-010, 
 67.40,  -2.11E-010, 
 67.50,  -5.08E-010, 
 67.60,  -5.90E-010, 
 67.70,  -5.54E-010, 
 67.80,  -4.54E-010, 
 67.90,  -6.77E-010, 
 68.00,  -6.42E-010, 
 68.10,  -5.52E-010, 
 68.20,  -7.18E-010, 
 68.30,  -5.95E-010, 
 68.40,  -5.88E-010, 
 68.50,  -7.88E-010, 
 68.60,  -6.57E-010, 
 68.70,  -6.54E-010, 
 68.80,  -6.81E-010, 
 68.90,  -1.63E-010, 
 69.00,   3.88E-010, 
 69.10,   8.67E-010, 
 69.20,   1.31E-009, 
 69.30,   1.68E-009, 
 69.40,   1.37E-009, 
 69.50,   8.48E-010, 
 69.60,   2.51E-010, 
 69.70,  -3.47E-010, 
 69.80,  -3.81E-010, 
 69.90,  -4.92E-010, 
 70.00,  -7.55E-010, 
 70.10,  -7.52E-010, 
 70.20,  -8.01E-010, 
 70.30,  -6.49E-010, 
 70.40,  -6.67E-010, 
 70.50,  -6.14E-010, 
 70.60,  -6.36E-010, 
 70.70,  -6.80E-010, 
 70.80,  -5.39E-010, 
 70.90,  -6.60E-010, 
 71.00,  -4.49E-010, 
 71.10,  -4.23E-010, 
 71.20,  -6.72E-010, 
 71.30,  -5.51E-010, 
 71.40,  -6.52E-010, 
 71.50,  -5.60E-010, 
 71.60,  -4.31E-010, 
 71.70,  -3.00E-010, 
 71.80,  -6.02E-010, 
 71.90,  -7.01E-010, 
 72.00,  -5.88E-010, 
 72.10,  -6.88E-010, 
 72.20,  -6.59E-010, 
 72.30,  -5.42E-010, 
 72.40,  -7.45E-010, 
 72.50,  -6.18E-010, 
 72.60,  -6.11E-010, 
 72.70,  -7.36E-010, 
 72.80,  -6.16E-010, 
 72.90,  -4.92E-010, 
 73.00,  -5.47E-010, 
 73.10,  -4.34E-010, 
 73.20,  -2.57E-010, 
 73.30,  -3.51E-010, 
 73.40,  -2.92E-010, 
 73.50,  -2.16E-010, 
 73.60,  -5.41E-010, 
 73.70,  -5.55E-010, 
 73.80,  -5.48E-010, 
 73.90,  -8.84E-010, 
 74.00,  -8.02E-010, 
 74.10,  -6.61E-010, 
 74.20,  -7.99E-010, 
